% f evaluations | g evaluations | best noise-free fitness - Fopt (3.590000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
243 0 +1.921602495e+04 +1.928351495e+04 +1.928351495e+04 -2.9697e+00 +9.3981e-01 -1.5653e+00 +3.9346e-01 -1.0084e+00 -1.4263e+00 +1.2402e+00 -4.3681e+00 +2.2952e+00 -1.0454e-01
335 0 +1.809185296e+04 +1.815934296e+04 +1.815934296e+04 +2.9162e+00 -2.7132e-01 +1.3517e+00 +1.8798e+00 +5.5628e-01 -1.3851e+00 +4.2445e+00 -2.7292e+00 +1.6382e+00 +1.0505e+00
584 0 +1.691827485e+04 +1.698576485e+04 +1.698576485e+04 -4.0624e-03 +4.6170e-01 +2.0477e+00 +4.5272e-01 -1.4336e+00 -2.3831e+00 +3.1917e+00 -9.1119e-01 +1.2136e+00 +4.4977e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (3.085000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.724129012e+05 +1.724437512e+05 +1.724437512e+05 -3.1550e-01 +1.5529e+00 -1.2562e+00 +2.9451e-01 +5.9169e-01 -1.6698e+00 +2.1826e-01 +9.0313e-01 +8.8938e-01 -6.3908e-01
10 0 +1.689783330e+05 +1.690091830e+05 +1.690091830e+05 +2.9107e-01 -1.2282e+00 -3.3605e-01 +1.0891e-01 -1.7667e-01 +1.2405e-02 +1.3670e+00 +1.2553e+00 -8.2053e-01 -7.2169e-01
20 0 +1.649433727e+05 +1.649742227e+05 +1.649742227e+05 +1.0918e-01 -6.9068e-01 +1.6251e+00 -9.2797e-01 -9.0134e-01 +7.8661e-01 -3.1535e-01 +5.5352e-01 -2.1479e-01 -1.6700e+00
96 0 +1.619685837e+05 +1.619994337e+05 +1.619994337e+05 -2.4457e+00 +1.9507e+00 -1.0516e+00 -7.1664e-01 +1.0368e+00 -2.9507e+00 -2.9284e+00 -1.0240e-01 -1.0064e+00 +6.1257e-01
109 0 +1.305113685e+05 +1.305422185e+05 +1.305422185e+05 -1.1558e+00 +2.4045e+00 -1.9325e+00 +6.3459e-01 -3.1946e+00 +1.1054e+00 -1.6791e+00 +1.0853e+00 -1.7111e+00 -3.2857e+00
117 0 +1.197386060e+05 +1.197694560e+05 +1.197694560e+05 -2.6203e+00 +2.8328e+00 -9.5323e-01 -5.4644e-01 -2.1338e+00 -1.0151e+00 -2.0771e+00 +1.3688e+00 -6.4443e-01 -2.5836e+00
